EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
1054	29115712	Mus musculus	Proteomic Profiling of Exosomes Secreted by Breast Cancer Cells with Varying Metastatic Potential.	Breast cancer cells	cl	4T1.2	Protein	Mass spectrometry|Western blotting	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1055	30035390	Mus musculus	Arrestin-domain Containing Protein 1 (Arrdc1) Regulates the Protein Cargo and Release of Extracellular Vesicles.	Mouse embryonic fibroblasts	cl	MEFs - WT 10K	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1056	30035390	Mus musculus	Arrestin-domain Containing Protein 1 (Arrdc1) Regulates the Protein Cargo and Release of Extracellular Vesicles.	Mouse embryonic fibroblasts	cl	MEFs - WT exosomes	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1057	30035390	Mus musculus	Arrestin-domain Containing Protein 1 (Arrdc1) Regulates the Protein Cargo and Release of Extracellular Vesicles.	Mouse embryonic fibroblasts	cl	MEFs - Arrdc1 KO 10K	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1058	30035390	Mus musculus	Arrestin-domain Containing Protein 1 (Arrdc1) Regulates the Protein Cargo and Release of Extracellular Vesicles.	Mouse embryonic fibroblasts	cl	MEFs - Arrdc1 KO exosomes	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1059	30006486	Homo sapiens	The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles released from glioblastoma cells.	Astrocytoma cells	cl	U373 - EVs 1	Protein	Mass spectrometry|Western blotting	2018	Filtration|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
1060	30006486	Homo sapiens	The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles released from glioblastoma cells.	Astrocytoma cells	cl	U373 - EVs 2	Protein	Mass spectrometry	2018	Filtration|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
1061	30006486	Homo sapiens	The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles released from glioblastoma cells.	Astrocytoma cells	cl	U373 - EVs 3	Protein	Mass spectrometry	2018	Filtration|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
1062	30006486	Homo sapiens	The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles released from glioblastoma cells.	Astrocytoma cells	cl	U373vIII - EVs 1	Protein	Mass spectrometry|Western blotting	2018	Filtration|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
1063	30006486	Homo sapiens	The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles released from glioblastoma cells.	Astrocytoma cells	cl	U373vIII - EVs 2	Protein	Mass spectrometry	2018	Filtration|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
1064	30006486	Homo sapiens	The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles released from glioblastoma cells.	Astrocytoma cells	cl	U373vIII - EVs 3	Protein	Mass spectrometry	2018	Filtration|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
1065	29963299	Homo sapiens	Enrichment of extracellular vesicles from human synovial fluid using size exclusion chromatography.	Synovial fluid	ts	synovial fluid - EVs Proteinase K treated	Protein	Mass spectrometry|Western blotting	2018	Size exclusion chromatography	Extracellular vesicles
1066	29963299	Homo sapiens	Enrichment of extracellular vesicles from human synovial fluid using size exclusion chromatography.	Synovial fluid	ts	synovial fluid - EVs untreated	Protein	Mass spectrometry|Western blotting	2018	Size exclusion chromatography	Extracellular vesicles
1067	29937354	Homo sapiens	Apoptotic Cell-Derived Extracellular Vesicles Promote Malignancy of Glioblastoma Via Intercellular Transfer of Splicing Factors.	Glioblastoma cells	cl	Untreated GBM157 - MVs	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Filtration 	Microvesicles
1068	29937354	Homo sapiens	Apoptotic Cell-Derived Extracellular Vesicles Promote Malignancy of Glioblastoma Via Intercellular Transfer of Splicing Factors.	Glioblastoma cells	cl	Lethally irradiated GBM157 -MVs (apoMVs)	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Filtration 	Microvesicles
1069	29937354	Homo sapiens	Apoptotic Cell-Derived Extracellular Vesicles Promote Malignancy of Glioblastoma Via Intercellular Transfer of Splicing Factors.	Glioblastoma cells	cl	Untreated GBM157 - Exo - Biorep1	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Ultracentrifugation	Exosomes
1070	29937354	Homo sapiens	Apoptotic Cell-Derived Extracellular Vesicles Promote Malignancy of Glioblastoma Via Intercellular Transfer of Splicing Factors.	Glioblastoma cells	cl	Untreated GBM157 - Exo - Biorep2	Protein	Mass spectrometry	2018	Differential centrifugation|Ultracentrifugation	Exosomes
1071	29937354	Homo sapiens	Apoptotic Cell-Derived Extracellular Vesicles Promote Malignancy of Glioblastoma Via Intercellular Transfer of Splicing Factors.	Glioblastoma cells	cl	Lethally irradiated GBM157 - apoExo - biorep1	Protein	Mass spectrometry|Western blotting	2018	Differential centrifugation|Ultracentrifugation	Exosomes
1072	29937354	Homo sapiens	Apoptotic Cell-Derived Extracellular Vesicles Promote Malignancy of Glioblastoma Via Intercellular Transfer of Splicing Factors.	Glioblastoma cells	cl	Lethally irradiated GBM157 - apoExo - biorep2	Protein	Mass spectrometry	2018	Differential centrifugation|Ultracentrifugation	Exosomes
1073	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Fresh plasma- healthy women	Protein	Western blotting	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1074	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Stored plasma(freeze/thaw) plasma- healthy women	Protein	Western blotting	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1075	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Fresh plasma- healthy women	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1076	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Stored plamsa(freeze/thaw) plasma- healthy women	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1077	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Fresh plasma- healthy women	miRNA	RT-PCR	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1078	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Stored plasma(freeze/thaw) plasma- healthy women	miRNA	RT-PCR	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1079	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Healthy pregnant women (week 6)	Protein	ELISA	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1080	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Healthy pregnant women (week 7)	Protein	ELISA	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1081	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Healthy pregnant women (week 8)	Protein	ELISA	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1082	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Healthy pregnant women (week 9)	Protein	ELISA	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1083	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Healthy pregnant women (week 10)	Protein	ELISA	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1084	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Healthy pregnant women (week 11)	Protein	ELISA	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1085	25104112	Homo sapiens	Placenta-derived exosomes continuously increase in maternal circulation over the first trimester of pregnancy.	Plasma	ts	Healthy pregnant women (week 12)	Protein	ELISA	2014	Differential centrifugation|Ultracentrifugation|Filtration|Density gradient centrifugation	Exosomes
1086	25065644	Homo sapiens	Exosome-mediated extracellular release of polyadenylate-binding protein 1 in human metastatic duodenal cancer cells.	Duodenal cancer cells	cl	AZ-P7a (metastatic)	Protein	Mass spectrometry	2014	Differential centrifugation|Filtration|Ultrafiltration	Exosomes
1087	25065644	Homo sapiens	Exosome-mediated extracellular release of polyadenylate-binding protein 1 in human metastatic duodenal cancer cells.	Duodenal cancer cells	cl	AZ521 (primary)	Protein	Mass spectrometry	2014	Differential centrifugation|Filtration|Ultrafiltration	Exosomes
1088	25065644	Homo sapiens	Exosome-mediated extracellular release of polyadenylate-binding protein 1 in human metastatic duodenal cancer cells.	Duodenal cancer cells	cl	AZ-P7a (metastatic)	Protein	Western blotting	2014	Differential centrifugation|Filtration|Ultrafiltration	Exosomes
1089	25065644	Homo sapiens	Exosome-mediated extracellular release of polyadenylate-binding protein 1 in human metastatic duodenal cancer cells.	Duodenal cancer cells	cl	AZ521 (primary)	Protein	Western blotting	2014	Differential centrifugation|Filtration|Ultrafiltration	Exosomes
1090	25065644	Homo sapiens	Exosome-mediated extracellular release of polyadenylate-binding protein 1 in human metastatic duodenal cancer cells.	Duodenal cancer cells	cl	AZ-P7a, MG132 treated	Protein	Western blotting	2014	Differential centrifugation|Filtration|Ultrafiltration	Exosomes
1091	25065644	Homo sapiens	Exosome-mediated extracellular release of polyadenylate-binding protein 1 in human metastatic duodenal cancer cells.	Duodenal cancer cells	cl	AZ-P7a, PYR-41 treated	Protein	Western blotting	2014	Differential centrifugation|Filtration|Ultrafiltration	Exosomes
1092	25065644	Homo sapiens	Exosome-mediated extracellular release of polyadenylate-binding protein 1 in human metastatic duodenal cancer cells.	Duodenal cancer cells	cl	AZ-P7a, GW4869 treated	Protein	Western blotting	2014	Differential centrifugation|Filtration|Ultrafiltration	Exosomes
1093	25065644	Homo sapiens	Exosome-mediated extracellular release of polyadenylate-binding protein 1 in human metastatic duodenal cancer cells.	Duodenal cancer cells	cl	AZ-P7a, MON treated	Protein	Western blotting	2014	Differential centrifugation|Filtration|Ultrafiltration	Exosomes
1094	25065644	Homo sapiens	Exosome-mediated extracellular release of polyadenylate-binding protein 1 in human metastatic duodenal cancer cells.	Duodenal cancer cells	cl	AZ-P7a, BFA treated	Protein	Western blotting	2014	Differential centrifugation|Filtration|Ultrafiltration	Exosomes
1095	24976626	Homo sapiens	Exosomal transfer from human renal proximal tubule cells to distal tubule and collecting duct cells.	Renal proximal tubule cells	cl	i16	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Immunoaffinity	Exosomes
1096	24976626	Homo sapiens	Exosomal transfer from human renal proximal tubule cells to distal tubule and collecting duct cells.	Renal proximal tubule cells	cl	i22	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Immunoaffinity	Exosomes
1097	24513287	Mus musculus	Lipid synthesis is promoted by hypoxic adipocyte-derived exosomes in 3T3-L1 cells.	adipocytes	cl	3T3-L1- Normoxic conditions	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Filtration	Exosomes
1098	24513287	Mus musculus	Lipid synthesis is promoted by hypoxic adipocyte-derived exosomes in 3T3-L1 cells.	adipocytes	cl	3T3-L1- Hypoxic conditions 	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Filtration	Exosomes
1099	24513287	Mus musculus	Lipid synthesis is promoted by hypoxic adipocyte-derived exosomes in 3T3-L1 cells.	adipocytes	cl	3T3-L1- Normoxic conditions	Protein	Western blotting	2014	Differential centrifugation|Ultracentrifugation|Filtration	Exosomes
1100	24513287	Mus musculus	Lipid synthesis is promoted by hypoxic adipocyte-derived exosomes in 3T3-L1 cells.	adipocytes	cl	3T3-L1- Hypoxic conditions 	Protein	Western blotting	2014	Differential centrifugation|Ultracentrifugation|Filtration	Exosomes
1101	24513287	Mus musculus	Lipid synthesis is promoted by hypoxic adipocyte-derived exosomes in 3T3-L1 cells.	Serum	ts	ob/ob mice (leptin defficient)	Protein	Western blotting	2014	Differential centrifugation|Ultracentrifugation|Filtration	Exosomes
1102	24408433	Prochlorococcus marinus 	Bacterial vesicles in marine ecosystems.	Prochlorococcus marinus	cl	Strain MED4	Lipids	Mass spectrometry	2014	Ultrafiltration|Density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
1103	24408433	Prochlorococcus marinus 	Bacterial vesicles in marine ecosystems.	Prochlorococcus marinus	cl	Strain MIT9313	Lipids	Mass spectrometry	2014	Ultrafiltration|Density gradient centrifugation|Ultracentrifugation	Extracellular vesicles
1104	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate epithelial cells 	cl	PNT2C2- replicate 1	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1105	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate epithelial cells 	cl	PNT2C2- replicate 2	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1106	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate epithelial cells 	cl	PNT2C2- replicate 3	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1107	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate epithelial cells 	cl	RWPE-1- replicate 1	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1108	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate epithelial cells 	cl	RWPE-1- replicate 2	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1109	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate epithelial cells 	cl	RWPE-1- replicate 3	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1110	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate cancer cells	cl	PC346C- replicate 1	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1111	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate cancer cells	cl	PC346C- replicate 2	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1112	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate cancer cells	cl	PC346C- replicate 3	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1113	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate cancer cells	cl	VCaP- replicate 1	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1114	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate cancer cells	cl	VCaP- replicate 2	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1115	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate cancer cells	cl	VCaP- replicate 3	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1116	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate epithelial cells 	cl	PNT2C2	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1117	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate epithelial cells 	cl	RWPE-1	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1118	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate cancer cells	cl	PC346C	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1119	24391718	Homo sapiens	Proteomic profiling of exosomes leads to the identification of novel biomarkers for prostate cancer.	Prostate cancer cells	cl	VCaP	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1120	24347249	Homo sapiens	Exosomes secreted under hypoxia enhance invasiveness and stemness of prostate cancer cells by targeting adherens junction molecules.	Prostate cancer cells	cl	LNCaP- Normoxic	Protein	Mass spectrometry	2015	Differential centrifugation|Ultracentrifugation|ExoQuick	Exosomes
1121	24347249	Homo sapiens	Exosomes secreted under hypoxia enhance invasiveness and stemness of prostate cancer cells by targeting adherens junction molecules.	Prostate cancer cells	cl	LNCaP- Hypoxic	Protein	Mass spectrometry	2015	Differential centrifugation|Ultracentrifugation|ExoQuick	Exosomes
1122	24347249	Homo sapiens	Exosomes secreted under hypoxia enhance invasiveness and stemness of prostate cancer cells by targeting adherens junction molecules.	Prostate cancer cells	cl	LNCaP- Normoxic	Protein	Western blotting	2015	Differential centrifugation|Ultracentrifugation|ExoQuick	Exosomes
1123	24347249	Homo sapiens	Exosomes secreted under hypoxia enhance invasiveness and stemness of prostate cancer cells by targeting adherens junction molecules.	Prostate cancer cells	cl	LNCaP- Hypoxic	Protein	Western blotting	2015	Differential centrifugation|Ultracentrifugation|ExoQuick	Exosomes
1124	24347249	Homo sapiens	Exosomes secreted under hypoxia enhance invasiveness and stemness of prostate cancer cells by targeting adherens junction molecules.	Prostate cancer cells	cl	LNCaP- Normoxic	Protein	Zymogram assay	2015	Differential centrifugation|Ultracentrifugation|ExoQuick	Exosomes
1125	24347249	Homo sapiens	Exosomes secreted under hypoxia enhance invasiveness and stemness of prostate cancer cells by targeting adherens junction molecules.	Prostate cancer cells	cl	LNCaP- Hypoxic	Protein	Zymogram assay	2015	Differential centrifugation|Ultracentrifugation|ExoQuick	Exosomes
1126	24295599	Mus musculus	Exosomes from myeloid-derived suppressor cells carry biologically active proteins.	Myeloid-derived suppressor cells	cl	Conventional MDSC's-BALB/c mice injected with 4T1 cells	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1127	24295599	Mus musculus	Exosomes from myeloid-derived suppressor cells carry biologically active proteins.	Myeloid-derived suppressor cells	cl	Inflammatory MDSC's-BALB/c mice injected with 4T1 cells expressing IL-1.	Protein	Mass spectrometry	2014	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
1128	23954818	Homo sapiens	Qualitative changes in the proteome of extracellular vesicles accompanying cancer cell transition to mesenchymal state.	Squamous carcinoma cells	cl	Normal A431	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1129	23954818	Homo sapiens	Qualitative changes in the proteome of extracellular vesicles accompanying cancer cell transition to mesenchymal state.	Squamous carcinoma cells	cl	Mesenchymal A431 (SHE78-7/TGF. treated)	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1130	23954818	Homo sapiens	Qualitative changes in the proteome of extracellular vesicles accompanying cancer cell transition to mesenchymal state.	Squamous carcinoma cells	cl	Normal A431	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1131	23954818	Homo sapiens	Qualitative changes in the proteome of extracellular vesicles accompanying cancer cell transition to mesenchymal state.	Squamous carcinoma cells	cl	Mesenchymal A431 (SHE78-7/TGF. treated)	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1132	23861904	Homo sapiens	Exosomal signaling during hypoxia mediates microvascular endothelial cell migration and vasculogenesis.	Placental mesenchymal stem cells	cl	pMSC's in 1% Oxygen 	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Ultrafiltration|Density gradient centrifugation	Exosomes
1133	23861904	Homo sapiens	Exosomal signaling during hypoxia mediates microvascular endothelial cell migration and vasculogenesis.	Placental mesenchymal stem cells	cl	pMSC's in 3% Oxygen 	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Ultrafiltration|Density gradient centrifugation	Exosomes
1134	23861904	Homo sapiens	Exosomal signaling during hypoxia mediates microvascular endothelial cell migration and vasculogenesis.	Placental mesenchymal stem cells	cl	pMSC's in 8% Oxygen 	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Ultrafiltration|Density gradient centrifugation	Exosomes
1135	23861904	Homo sapiens	Exosomal signaling during hypoxia mediates microvascular endothelial cell migration and vasculogenesis.	Placental mesenchymal stem cells	cl	pMSC's in 1% Oxygen 	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Ultrafiltration|Density gradient centrifugation	Exosomes
1136	23861904	Homo sapiens	Exosomal signaling during hypoxia mediates microvascular endothelial cell migration and vasculogenesis.	Placental mesenchymal stem cells	cl	pMSC's in 3% Oxygen 	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Ultrafiltration|Density gradient centrifugation	Exosomes
1137	23861904	Homo sapiens	Exosomal signaling during hypoxia mediates microvascular endothelial cell migration and vasculogenesis.	Placental mesenchymal stem cells	cl	pMSC's in 8% Oxygen 	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Ultrafiltration|Density gradient centrifugation	Exosomes
1138	23707955	Homo sapiens	Prostasomes from four different species are able to produce extracellular adenosine triphosphate (ATP).	Seminal plasma	ts	normal male	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Prostasomes
1139	23707955	Bos taurus	Prostasomes from four different species are able to produce extracellular adenosine triphosphate (ATP).	Seminal plasma	ts	normal male	Protein	Mass spectrometry	2013	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Prostasomes
1140	23454749	Homo sapiens	BM mesenchymal stromal cell-derived exosomes facilitate multiple myeloma progression.	Bone marrow mesenchymal stromal cells	cl	Normal patient	Protein	Immunoelectron microscopy|Western blotting	2013	Differential centrifugation|Ultracentrifugation|Filtration|ExoQuick	Exosomes
1141	23454749	Homo sapiens	BM mesenchymal stromal cell-derived exosomes facilitate multiple myeloma progression.	Bone marrow mesenchymal stromal cells	cl	Multiple myeloma patient	Protein	Immunoelectron microscopy|Western blotting	2013	Differential centrifugation|Ultracentrifugation|Filtration|ExoQuick	Exosomes
1142	23454749	Homo sapiens	BM mesenchymal stromal cell-derived exosomes facilitate multiple myeloma progression.	Bone marrow mesenchymal stromal cells	cl	HS-5	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Filtration|ExoQuick	Exosomes
1143	23454749	Homo sapiens	BM mesenchymal stromal cell-derived exosomes facilitate multiple myeloma progression.	Bone marrow mesenchymal stromal cells	cl	Normal patient	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Filtration|ExoQuick	Exosomes
1144	23454749	Homo sapiens	BM mesenchymal stromal cell-derived exosomes facilitate multiple myeloma progression.	Bone marrow mesenchymal stromal cells	cl	Multiple myeloma patient	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation|Filtration|ExoQuick	Exosomes
1145	23173708	Rattus norvegicus	Wnt3a induces exosome secretion from primary cultured rat microglia.	Primary microglial cells	cl	Wnt3a stimulated (8 hour)|100,000g fraction	Protein	Mass spectrometry	2012	Differential centrifugation|Ultracentrifugation	Exosomes
1146	23173708	Rattus norvegicus	Wnt3a induces exosome secretion from primary cultured rat microglia.	Primary microglial cells	cl	Wnt3a stimulated (8 hour)|100,000g fraction	Protein	Western blotting	2012	Differential centrifugation|Ultracentrifugation	Exosomes
1147	23173708	Rattus norvegicus	Wnt3a induces exosome secretion from primary cultured rat microglia.	Primary microglial cells	cl	Wnt3a stimulated (36 hour)|100,000g fraction	Protein	Western blotting	2012	Differential centrifugation|Ultracentrifugation	Exosomes
1148	23173708	Rattus norvegicus	Wnt3a induces exosome secretion from primary cultured rat microglia.	Primary microglial cells	cl	Wnt3a stimulated (36 hour)|200,000g fraction	Protein	Western blotting	2012	Differential centrifugation|Ultracentrifugation	Exosomes
1149	22807456	Homo sapiens	Quantitative proteomic analysis of exosomes from HIV-1-infected lymphocytic cells.	Lymphocytes	cl	H9 cells uninfected 	Protein	Western blotting	2012	Differential centrifugation|Ultracentrifugation	Exosomes
1150	22807456	Homo sapiens	Quantitative proteomic analysis of exosomes from HIV-1-infected lymphocytic cells.	Lymphocytes	cl	H9 cells HIV-1NL4.3 infected 	Protein	Western blotting	2012	Differential centrifugation|Ultracentrifugation	Exosomes
1151	22367951	Acinetobacter baumannii	Acinetobacter baumannii outer membrane protein A modulates the biogenesis of outer membrane vesicles.	Acinetobacter baumannii	cl	.AbOmpA mutant 	Protein	Mass spectrometry	2012	Differential centrifugation|Ultrafiltration|Ultracentrifugation	Outer membrane vesicles
1152	22057275	Homo sapiens	Exosome-associated tau is secreted in tauopathy models and is selectively phosphorylated in cerebrospinal fluid in early Alzheimer disease.	Neuroblastoma cells	cl	M1C cells (inducibly expressing wild-type human tau	Protein	Western blotting	2012	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
1153	22057275	Homo sapiens	Exosome-associated tau is secreted in tauopathy models and is selectively phosphorylated in cerebrospinal fluid in early Alzheimer disease.	Neuroblastoma cells	cl	M1C cells (inducibly expressing wild-type human tau	Protein	Mass spectrometry	2012	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
1154	22057275	Homo sapiens	Exosome-associated tau is secreted in tauopathy models and is selectively phosphorylated in cerebrospinal fluid in early Alzheimer disease.	Cerebrospinal fluid	cl	Alzheimer's disease patients	Protein	Western blotting	2012	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
1155	21212511	Homo sapiens	Proteomic analysis of two types of exosomes in human whole saliva.	Saliva	ts	Exosome I	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultracentrifugation|Gel filtration	Exosomes
1156	21212511	Homo sapiens	Proteomic analysis of two types of exosomes in human whole saliva.	Saliva	ts	Exosome  II	Protein	Western blotting	2011	Differential centrifugation|Filtration|Ultracentrifugation|Gel filtration	Exosomes
1157	20662102	Mus musculus	Proteomic analysis identifies highly antigenic proteins in exosomes from M. tuberculosis-infected and culture filtrate protein-treated macrophages.	Macrophages	cl	J774 infected with M.tubelrculosis H37Rv	Protein	Western blotting	2010	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Exosomes
